kaptCode,kaptName,kaptAddr,kaptDongCnt,kaptdaCnt,kaptAcompany,kaptBcompany,codeAptNm,doroJuso,hoCnt,codeHallNm,kaptUsedate,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,bjdCode
A10027985,LH강남힐스테이트아파트,서울특별시 강남구 자곡동 619 LH강남힐스테이트아파트,5,1339,한국토지공사,현대건설,아파트,서울특별시 강남구 자곡로3길 21,1339,복도식,20150602,789,550,0,0,1168011200
A13520004,강남브리즈힐,서울특별시 강남구 자곡동 618 강남브리즈힐,13,402,한국토지주택공사,"현대아산(주), 신성건설(주) 등",아파트,서울특별시 강남구 자곡로3길 45,402,계단식,20141030,0,402,0,0,1168011200
A10028172,강남자곡아이파크,서울특별시 강남구 자곡동 602 강남자곡아이파크,10,716,계룡건설산업(주),한국토지주택공사,아파트,서울특별시 강남구 자곡로 175,716,계단식,20141002,195,521,0,0,1168011200
A13520002,강남한양수자인,서울특별시 강남구 자곡동 77 강남한양수자인,26,1304,SH공사,한양수자인,아파트,서울특별시 강남구 자곡로 260,1304,혼합식,20140314,625,347,332,0,1168011200
A13520003,래미안강남힐즈,서울특별시 강남구 자곡동 611 래미안강남힐즈,20,1020,삼성물산,삼성물산,아파트,서울특별시 강남구 자곡로 101,1020,계단식,20140627,0,0,1020,0,1168011200
A13520001,래미안포레,서울특별시 강남구 자곡동 361 래미안포레,15,1070,sh공사,삼성물산,아파트,서울특별시 강남구 밤고개로21길 25,1070,혼합식,20140313,714,306,50,0,1168011200
A10027912,강남한신휴플러스 6단지,서울특별시 강남구 율현동 336 강남한신휴플러스 6단지,12,378,SH공사,한신공영,아파트,서울특별시 강남구 밤고개로26길 50,378,혼합식,20150923,326,52,0,0,1168011300
A10027909,강남한신휴플러스 8단지,서울특별시 강남구 율현동 217 강남한신휴플러스 8단지,11,169,에스에치공사,한신공영,아파트,서울특별시 강남구 밤고개로27길 20,169,계단식,20150923,108,6,55,0,1168011300
A13594403,개포7차우성,서울특별시 강남구 일원동 615 개포7차우성,15,802,(주)우성,(주)우성,아파트,서울특별시 강남구 개포로110길 15,802,계단식,19871211,0,802,0,0,1168011400
A10023547,개포상록스타힐스,서울특별시 강남구 일원동 688 개포상록스타힐스,12,1703,공무원연금공단,서희건설,NA,서울특별시 강남구 영동대로 16,1837,혼합식,20221031,1703,0,0,0,1168011400
A13594402,개포한신,서울특별시 강남구 일원동 615-1 개포한신,4,364,한신공영,한신공영,아파트,서울특별시 강남구 개포로110길 43,364,복도식,19840310,0,134,230,0,1168011400
A10024216,디에이치 자이 개포,서울특별시 강남구 일원동 611-1 디에이치 자이 개포,15,1996,현대건설개포컨소시엄,"현대건설, 현대엔지니어링, GS건설",아파트,서울특별시 강남구 영동대로 22,1996,계단식,20210730,306,1198,486,6,1168011400
